STN,MMDDYY,EVAP
,09/26/2015,1.7
,09/27/2015,1.3
,09/28/2015,1.2
,09/29/2015,2
,09/30/2015,2.1
,10/01/2015,2
,10/02/2015,1.5
,10/03/2015,1.5
,10/04/2015,1.3
,10/05/2015,1.5
,10/06/2015,0.3
,10/07/2015,1.3
,10/08/2015,0.6
,10/09/2015,1
,10/10/2015,1.5
,10/11/2015,1.5
,10/12/2015,1.1
,10/13/2015,1.1
,10/14/2015,0.2
,10/15/2015,0.2
,10/16/2015,0.2
,10/17/2015,0.3
,10/18/2015,0.2
,10/19/2015,1
,10/20/2015,0.7
,10/21/2015,0.6
,10/22/2015,0.3
,10/23/2015,0.8
,10/24/2015,0.3
,10/25/2015,1.1
,10/26/2015,0.8
,10/27/2015,0.3
,10/28/2015,0.2
,10/29/2015,0.5
,10/30/2015,0.8
,10/31/2015,0.6
,11/01/2015,0.4
,11/02/2015,0.4
,11/03/2015,0.9
,11/04/2015,0.9
,11/05/2015,0.5
,11/06/2015,0.4
,11/07/2015,0.4
,11/08/2015,0.7
,11/09/2015,0.3
,11/10/2015,0.2
,11/11/2015,0.1
,11/12/2015,0.7
,11/13/2015,0.6
,11/14/2015,0.4
,11/15/2015,0.1
,11/16/2015,0.2
,11/17/2015,0.3
,11/18/2015,0.5
,11/19/2015,0.4
,11/20/2015,0.4
,11/21/2015,0.2
,11/22/2015,0.3
,11/23/2015,0.4
,11/24/2015,0.1
,11/25/2015,0.3
,11/26/2015,0.5
,11/27/2015,0.2
,11/28/2015,0.2
,11/29/2015,0.2
,11/30/2015,0.1
,12/01/2015,0.3
,12/02/2015,0.2
,12/03/2015,0.3
,12/04/2015,0.4
,12/05/2015,0.2
,12/06/2015,0.3
,12/07/2015,0.1
,12/08/2015,0.4
,12/09/2015,0.4
,12/10/2015,0.2
,12/11/2015,0.1
,12/12/2015,0.3
,12/13/2015,0.4
,12/14/2015,0.1
,12/15/2015,0.3
,12/16/2015,0.1
,12/17/2015,0.3
,12/18/2015,0.2
,12/19/2015,0.1
,12/20/2015,0.2
,12/21/2015,0.3
,12/22/2015,0.1
,12/23/2015,0.3
,12/24/2015,0.3
,12/25/2015,0.2
,12/26/2015,0.3
,12/27/2015,0.1
,12/28/2015,0.4
,12/29/2015,0.4
,12/30/2015,0.4
,12/31/2015,0.3
,01/01/2016,0.3
,01/02/2016,0.1
,01/03/2016,0.1
,01/04/2016,0.1
,01/05/2016,0
,01/06/2016,0.1
,01/07/2016,0.1
,01/08/2016,0.4
,01/09/2016,0.2
,01/10/2016,0.4
,01/11/2016,0.2
,01/12/2016,0.2
,01/13/2016,0.2
,01/14/2016,0.1
,01/15/2016,0.1
,01/16/2016,0.3
,01/17/2016,0.4
,01/18/2016,0.5
,01/19/2016,0.2
,01/20/2016,0.3
,01/21/2016,0.2
,01/22/2016,0.6
,01/23/2016,0.6
,01/24/2016,0.1
,01/25/2016,0.5
,01/26/2016,0.4
,01/27/2016,0.1
,01/28/2016,0.7
,01/29/2016,0.1
,01/30/2016,0.1
,01/31/2016,0.3
,02/01/2016,0.2
,02/02/2016,0.4
,02/03/2016,0.7
,02/04/2016,0.2
,02/05/2016,0.2
,02/06/2016,0.3
,02/07/2016,0.5
,02/08/2016,0.5
,02/09/2016,0.3
,02/10/2016,0.4
,02/11/2016,0.8
,02/12/2016,0.4
,02/13/2016,0.5
,02/14/2016,0.2
,02/15/2016,0.5
,02/16/2016,1.1
,02/17/2016,0.9
,02/18/2016,0.7
,02/19/2016,0.8
,02/20/2016,0.3
,02/21/2016,0.2
,02/22/2016,0.3
,02/23/2016,1
,02/24/2016,1
,02/25/2016,0.9
,02/26/2016,1
,02/27/2016,1.2
,02/28/2016,1.1
,02/29/2016,1.2
,03/01/2016,0.4
,03/02/2016,0.6
,03/03/2016,0.5
,03/04/2016,0.4
,03/05/2016,0.7
,03/06/2016,11.2
,03/07/2016,0.9
,03/08/2016,1.6
,03/09/2016,0.9
,03/10/2016,1
,03/11/2016,1.6
,03/12/2016,1.5
,03/13/2016,1.5
,03/14/2016,0.7
,03/15/2016,1.8
,03/16/2016,1.9
,03/17/2016,0.4
,03/18/2016,0.6
,03/19/2016,0.7
,03/20/2016,1.4
,03/21/2016,1.6
,03/22/2016,1.5
,03/23/2016,0.4
,03/24/2016,0.4
,03/25/2016,2.3
,03/26/2016,1.2
,03/27/2016,1.1
,03/28/2016,1.1
,03/29/2016,1.9
,03/30/2016,1.7
,03/31/2016,1
,04/01/2016,2.5
,04/02/2016,1.6
,04/03/2016,1.4
,04/04/2016,1.9
,04/05/2016,0.5
,04/06/2016,1.2
,04/07/2016,1.7
,04/08/2016,1.5
,04/09/2016,2.6
,04/10/2016,2.1
,04/11/2016,3.1
,04/12/2016,1.8
,04/13/2016,2.4
,04/14/2016,2.7
,04/15/2016,1
,04/16/2016,2.1
,04/17/2016,2.2
,04/18/2016,1.1
,04/19/2016,2.6
,04/20/2016,2.4
,04/21/2016,3.2
,04/22/2016,2.5
,04/23/2016,2.1
,04/24/2016,2.3
,04/25/2016,0.6
,04/26/2016,1.6
,04/27/2016,1.5
,04/28/2016,2
,04/29/2016,0.9
,04/30/2016,2.5
,05/01/2016,3.1
,05/02/2016,3.4
,05/03/2016,3
,05/04/2016,3.5
,05/05/2016,4.1
,05/06/2016,4.4
,05/07/2016,4.6
,05/08/2016,4.7
,05/09/2016,4.7
,05/10/2016,4
,05/11/2016,4.2
,05/12/2016,4.5
,05/13/2016,4.2
,05/14/2016,2.4
,05/15/2016,2.5
,05/16/2016,2.3
,05/17/2016,3
,05/18/2016,2.7
,05/19/2016,3.3
,05/20/2016,1.1
,05/21/2016,3
,05/22/2016,2.3
,05/23/2016,0.6
,05/24/2016,0.7
,05/25/2016,1.6
,05/26/2016,2.4
,05/27/2016,3.2
,05/28/2016,3
,05/29/2016,2.9
,05/30/2016,4.2
,05/31/2016,4.3
,06/01/2016,4
,06/02/2016,3
,06/03/2016,4.6
,06/04/2016,5.1
,06/05/2016,5
,06/06/2016,3.7
,06/07/2016,4.6
,06/08/2016,1.7
,06/09/2016,2.3
,06/10/2016,3.7
,06/11/2016,2.1
,06/12/2016,2.2
,06/13/2016,1.9
,06/14/2016,2.4
,06/15/2016,2.5
,06/16/2016,3.2
,06/17/2016,2
,06/18/2016,2.8
,06/19/2016,2.4
,06/20/2016,1.3
,06/21/2016,3.9
,06/22/2016,4.5
,06/23/2016,3.5
,06/24/2016,2
,06/25/2016,0.8
,06/26/2016,3.4
,06/27/2016,2.1
,06/28/2016,3.5
,06/29/2016,3.5
,06/30/2016,1.9
,07/01/2016,1.3
,07/02/2016,3.8
,07/03/2016,3
,07/04/2016,3.9
,07/05/2016,2.2
,07/06/2016,4.1
,07/07/2016,3.7
,07/08/2016,1.6
,07/09/2016,3.3
,07/10/2016,4.2
,07/11/2016,2.5
,07/12/2016,3.1
,07/13/2016,2
,07/14/2016,2.5
,07/15/2016,3.1
,07/16/2016,1.5
,07/17/2016,3.9
,07/18/2016,4.7
,07/19/2016,4.1
,07/20/2016,5.1
,07/21/2016,4.7
,07/22/2016,1.9
,07/23/2016,4
,07/24/2016,2.7
,07/25/2016,2.5
,07/26/2016,2.7
,07/27/2016,2.4
,07/28/2016,3.3
,07/29/2016,2.3
,07/30/2016,3.3
,07/31/2016,2.3
,08/01/2016,2.9
,08/02/2016,2.8
,08/03/2016,1.7
,08/04/2016,2.6
,08/05/2016,3.1
,08/06/2016,2.6
,08/07/2016,2.1
,08/08/2016,2.7
,08/09/2016,2.6
,08/10/2016,3.1
,08/11/2016,0.8
,08/12/2016,1.2
,08/13/2016,1.7
,08/14/2016,2.2
,08/15/2016,2.6
,08/16/2016,2.4
,08/17/2016,4
,08/18/2016,3.8
,08/19/2016,3.8
,08/20/2016,2.6
,08/21/2016,2.1
,08/22/2016,0.8
,08/23/2016,3
,08/24/2016,4.1
,08/25/2016,4.2
,08/26/2016,3.5
,08/27/2016,3.4
,08/28/2016,2.3
,08/29/2016,2.3
,08/30/2016,3.1
,08/31/2016,3.4
,09/01/2016,2.3
,09/02/2016,1.8
,09/03/2016,2.3
,09/04/2016,2.1
,09/05/2016,2.7
,09/06/2016,3
,09/07/2016,3.2
,09/08/2016,1.3
,09/09/2016,3
,09/10/2016,3
,09/11/2016,1.3
,09/12/2016,3.1
,09/13/2016,3.1
,09/14/2016,3.1
,09/15/2016,2.9
,09/16/2016,1.3
,09/17/2016,1.6
,09/18/2016,2
,09/19/2016,2.3
,09/20/2016,0.8
,09/21/2016,2.3
,09/22/2016,2.1
,09/23/2016,1.8
,09/24/2016,2.3
,09/25/2016,2.5
,09/26/2016,2.1
,09/27/2016,2.2
,09/28/2016,1.8
,09/29/2016,0.5
,09/30/2016,1.6
,10/01/2016,0.9
,10/02/2016,0.9
,10/03/2016,1.4
,10/04/2016,1.8
,10/05/2016,1.8
,10/06/2016,0.7
,10/07/2016,0.6
,10/08/2016,1
,10/09/2016,0.6
,10/10/2016,0.9
,10/11/2016,0.7
,10/12/2016,0.9
,10/13/2016,0.3
,10/14/2016,0.9
,10/15/2016,0.5
,10/16/2016,1.5
,10/17/2016,1.1
,10/18/2016,0.5
,10/19/2016,0.7
,10/20/2016,0.5
,10/21/2016,0.4
,10/22/2016,0.7
,10/23/2016,0.4
,10/24/2016,0.4
,10/25/2016,0.9
,10/26/2016,0.7
,10/27/2016,0.6
,10/28/2016,0.3
,10/29/2016,0.9
,10/30/2016,0.5
,10/31/2016,0.7
,11/01/2016,0.3
,11/02/2016,0.5
,11/03/2016,0.7
,11/04/2016,0.4
,11/05/2016,0.5
,11/06/2016,0.5
,11/07/2016,0.2
,11/08/2016,0.5
,11/09/2016,0.3
,11/10/2016,0.3
,11/11/2016,0.6
,11/12/2016,0.5
,11/13/2016,0.2
,11/14/2016,0.2
,11/15/2016,0.1
,11/16/2016,0.4
,11/17/2016,0.4
,11/18/2016,0.3
,11/19/2016,0.3
,11/20/2016,0.1
,11/21/2016,0.2
,11/22/2016,0.5
,11/23/2016,0.3
,11/24/2016,0.4
,11/25/2016,0.3
,11/26/2016,0.3
,11/27/2016,0.3
,11/28/2016,0.5
,11/29/2016,0.5
,11/30/2016,0.2
,12/01/2016,0.2
,12/02/2016,0.4
,12/03/2016,0.4
,12/04/2016,0.3
,12/05/2016,0.5
,12/06/2016,0.4
,12/07/2016,0.1
