235088.102169 596687.396719      1 0.000000
235113.101508 596662.359643      1 0.000000
235138.101154 596637.392670      1 0.000000
235163.100488 596612.355548      1 0.000000
235163.101934 596587.397268      1 0.000000
235188.101226 596562.360130      1 0.000000
235188.102608 596537.391940      1 0.000000
235213.101938 596512.354926      1 0.000000
235213.103356 596487.396642      1 0.000000
235238.102634 596462.359472      1 0.000000
235263.102399 596437.392405      1 0.000000
235288.101664 596412.355479      1 0.000000
235313.101430 596387.398429      1 0.000000
235338.100604 596362.351265      1 0.000000
235363.100367 596337.394319      1 0.000000
235388.099633 596312.357321      1 0.000000
235413.099296 596287.390286      1 0.000000
235413.100360 596262.351955      1 0.000000
235413.101809 596237.393680      1 0.000000
235438.101071 596212.356641      1 0.000000
235438.102553 596187.398508      1 0.000000
235463.101756 596162.351380      1 0.000000
235463.103278 596137.393110      1 0.000000
235488.102515 596112.356029      1 0.000000
235513.102246 596087.399113      1 0.000000
235513.103259 596062.350882      1 0.000000
235538.102936 596037.393810      1 0.000000
235538.103905 596012.355486      1 0.000000
235538.105430 595987.397355      1 0.000000
235538.106382 595962.359043      1 0.000000
235563.106082 595937.392036      1 0.000000
235563.107074 595912.353717      1 0.000000
235563.098590 595887.395717      1 0.000000
235563.099564 595862.357409      1 0.000000
235588.099201 595837.390381      1 0.000000
235588.100297 595812.352216      1 0.000000
235588.101698 595787.393947      1 0.000000
235588.102785 595762.355644      1 0.000000
235588.104268 595737.397386      1 0.000000
235588.105338 595712.359235      1 0.000000
235588.106717 595687.390917      1 0.000000
235588.097665 595662.352744      1 0.000000
235613.097487 595637.395745      1 0.000000
235613.098500 595612.357599      1 0.000000
235613.099892 595587.389286      1 0.000000
235613.100896 595562.350992      1 0.000000
235613.102466 595537.392753      1 0.000000
235613.103463 595512.354612      1 0.000000
235613.104934 595487.396366      1 0.000000
235613.105913 595462.358087      1 0.000000
235588.099248 595437.398745      1 0.000000
235588.100174 595412.350554      1 0.000000
235563.103496 595387.391074      1 0.000000
235563.104460 595362.352807      1 0.000000
235563.105990 595337.394585      1 0.000000
235563.096994 595312.356295      1 0.000000
235563.098606 595287.398224      1 0.000000
235563.099539 595262.349899      1 0.000000
235588.099222 595237.392912      1 0.000000
235613.098499 595212.356004      1 0.000000
235638.098173 595187.389059      1 0.000000
235663.097456 595162.352115      1 0.000000
235688.097131 595137.395186      1 0.000000
235713.106443 595112.358231      1 0.000000
235738.106018 595087.391204      1 0.000000
235763.105293 595062.354328      1 0.000000
235788.103457 595062.355699      1 0.000000
235813.101710 595062.356908      1 0.000000
235838.101297 595037.389965      1 0.000000
235863.099517 595037.391284      1 0.000000
235888.098762 595012.354312      1 0.000000
235913.098478 594987.397366      1 0.000000
235938.097713 594962.350445      1 0.000000
235963.097345 594937.393463      1 0.000000
235988.106535 594912.356584      1 0.000000
236013.106248 594887.389652      1 0.000000
236038.105480 594862.352713      1 0.000000
236063.105105 594837.395799      1 0.000000
236088.104248 594812.348901      1 0.000000
236113.103958 594787.391950      1 0.000000
236113.104965 594762.353810      1 0.000000
236138.104623 594737.396834      1 0.000000
236163.103889 594712.349893      1 0.000000
236163.105351 594687.391792      1 0.000000
236188.104481 594662.354889      1 0.000000
236213.104178 594637.387938      1 0.000000
236238.103384 594612.351139      1 0.000000
236263.102992 594587.394215      1 0.000000
236288.102198 594562.347317      1 0.000000
236313.101882 594537.390347      1 0.000000
236313.102841 594512.352206      1 0.000000
236338.102473 594487.395370      1 0.000000
236363.101713 594462.348420      1 0.000000
236363.103217 594437.390316      1 0.000000
236388.102321 594412.353404      1 0.000000
236388.103846 594387.395304      1 0.000000
236413.102992 594362.348452      1 0.000000
236438.102606 594337.391539      1 0.000000
236438.103738 594312.353399      1 0.000000
236463.103389 594287.396470      1 0.000000
236463.104367 594262.348412      1 0.000000
236488.103976 594237.391457      1 0.000000
236513.103190 594212.354590      1 0.000000
236538.102791 594187.387826      1 0.000000
236563.102000 594162.350923      1 0.000000
236563.103428 594137.392820      1 0.000000
236588.102595 594112.355892      1 0.000000
236613.102220 594087.389076      1 0.000000
236613.103255 594062.350934      1 0.000000
236638.102922 594037.394015      1 0.000000
236663.102028 594012.347112      1 0.000000
236663.103509 593987.389160      1 0.000000
236688.102657 593962.352153      1 0.000000
236713.102360 593937.395462      1 0.000000
236713.103351 593912.347258      1 0.000000
236738.102910 593887.390402      1 0.000000
236763.102184 593862.353633      1 0.000000
236788.101654 593837.386818      1 0.000000
236813.100833 593812.350004      1 0.000000
236838.100474 593787.393065      1 0.000000
236838.101572 593762.354925      1 0.000000
236838.102940 593737.386917      1 0.000000
236838.104030 593712.348789      1 0.000000
236863.103610 593687.391979      1 0.000000
236863.104731 593662.353844      1 0.000000
236888.104253 593637.387095      1 0.000000
236888.105315 593612.348963      1 0.000000
236888.106842 593587.390875      1 0.000000
236888.097853 593562.352721      1 0.000000
236888.099453 593537.394785      1 0.000000
236888.100403 593512.346605      1 0.000000
236888.101905 593487.388521      1 0.000000
236888.102933 593462.350406      1 0.000000
236888.104517 593437.392334      1 0.000000
236888.105537 593412.354221      1 0.000000
236888.107016 593387.386088      1 0.000000
236888.098076 593362.348092      1 0.000000
236888.099634 593337.390024      1 0.000000
236888.100718 593312.351925      1 0.000000
236888.102178 593287.393860      1 0.000000
236888.103258 593262.345699      1 0.000000
236913.102824 593237.388975      1 0.000000
236938.101934 593212.352190      1 0.000000
236938.103545 593187.393990      1 0.000000
236963.102597 593162.347277      1 0.000000
236988.102197 593137.390501      1 0.000000
237013.101430 593112.353664      1 0.000000
237038.100940 593087.386930      1 0.000000
237063.100070 593062.350197      1 0.000000
237088.098180 593062.351556      1 0.000000
237113.097644 593037.384766      1 0.000000
237138.106870 593012.347862      1 0.000000
237163.106425 592987.391099      1 0.000000
237188.105515 592962.354414      1 0.000000
237213.105060 592937.387552      1 0.000000
237238.104236 592912.350831      1 0.000000
237263.103784 592887.394136      1 0.000000
237288.102869 592862.347317      1 0.000000
237313.102413 592837.390576      1 0.000000
237338.101580 592812.353784      1 0.000000
237363.101114 592787.387094      1 0.000000
237388.100197 592762.350256      1 0.000000
237413.099733 592737.393593      1 0.000000
237413.100815 592712.345556      1 0.000000
237438.100299 592687.388878      1 0.000000
237463.099415 592662.351978      1 0.000000
237488.097503 592662.353328      1 0.000000
237513.106978 592637.386555      1 0.000000
237538.105032 592637.387874      1 0.000000
237563.104152 592612.351198      1 0.000000
237588.103637 592587.384334      1 0.000000
237613.102762 592562.347613      1 0.000000
237638.102239 592537.390927      1 0.000000
237663.101345 592512.344256      1 0.000000
237688.099298 592512.345465      1 0.000000
237713.107383 592512.346686      1 0.000000
237738.106963 592487.390063      1 0.000000
237763.104882 592487.391370      1 0.000000
237788.103957 592462.344604      1 0.000000
237813.103490 592437.387926      1 0.000000
237838.102567 592412.351187      1 0.000000
237863.102011 592387.384400      1 0.000000
237888.101174 592362.347764      1 0.000000
237913.100699 592337.391015      1 0.000000
237938.099682 592312.344271      1 0.000000
237963.099194 592287.387625      1 0.000000
237988.098349 592262.350908      1 0.000000
238013.097780 592237.384164      1 0.000000
238038.106805 592212.347436      1 0.000000
238063.106408 592187.390708      1 0.000000
238088.105379 592162.343997      1 0.000000
238113.104889 592137.387383      1 0.000000
238138.103951 592112.350549      1 0.000000
238163.103451 592087.383977      1 0.000000
238188.102420 592062.347247      1 0.000000
238213.101921 592037.390552      1 0.000000
238238.100891 592012.343873      1 0.000000
238263.100469 591987.387281      1 0.000000
238263.101463 591962.349273      1 0.000000
238263.103073 591937.391308      1 0.000000
238288.102029 591912.344587      1 0.000000
238288.103490 591887.386626      1 0.000000
238313.102659 591862.349951      1 0.000000
238338.102084 591837.383240      1 0.000000
238363.101070 591812.346661      1 0.000000
238388.100587 591787.389976      1 0.000000
238413.099563 591762.343307      1 0.000000
238438.099076 591737.386577      1 0.000000
238463.098053 591712.349926      1 0.000000
238463.099601 591687.382046      1 0.000000
238463.100620 591662.344028      1 0.000000
238488.100109 591637.387405      1 0.000000
238513.099162 591612.350722      1 0.000000
238538.098563 591587.384141      1 0.000000
238563.106485 591587.385307      1 0.000000
238588.104464 591587.386578      1 0.000000
238613.103519 591562.349959      1 0.000000
238638.101465 591562.351198      1 0.000000
238663.100825 591537.384672      1 0.000000
238688.099844 591512.347997      1 0.000000
238713.099296 591487.391337      1 0.000000
238738.098306 591462.344714      1 0.000000
238738.104930 591337.384969      1 0.000000
238763.103954 591312.348381      1 0.000000
238788.103414 591287.381754      1 0.000000
238813.102344 591262.345120      1 0.000000
238838.100310 591262.346484      1 0.000000
238863.098204 591262.347687      1 0.000000
238888.107629 591237.381020      1 0.000000
238913.106651 591212.344450      1 0.000000
238963.105047 591162.341256      1 0.000000
238988.104496 591137.384675      1 0.000000
239013.102369 591137.385918      1 0.000000
239038.100251 591137.387149      1 0.000000
239063.099271 591112.350617      1 0.000000
239088.107168 591112.341779      1 0.000000
239113.106588 591087.385253      1 0.000000
239138.105570 591062.348515      1 0.000000
239163.103425 591062.349955      1 0.000000
239188.102803 591037.383310      1 0.000000
239213.100714 591037.384558      1 0.000000
239238.098635 591037.385945      1 0.000000
239263.107541 591012.349287      1 0.000000
239288.105422 591012.340581      1 0.000000
239313.104856 590987.383903      1 0.000000
239338.103763 590962.347304      1 0.000000
239363.103187 590937.380677      1 0.000000
239388.102091 590912.344183      1 0.000000
239413.099999 590912.345439      1 0.000000
239438.099462 590887.388809      1 0.000000
239463.108287 590862.342231      1 0.000000
239488.107747 590837.385715      1 0.000000
239513.106700 590812.348979      1 0.000000
239538.105981 590787.382505      1 0.000000
239563.104930 590762.345883      1 0.000000
239588.104382 590737.389275      1 0.000000
239613.103242 590712.342695      1 0.000000
239638.101182 590712.343940      1 0.000000
239663.100508 590687.387427      1 0.000000
239688.099403 590662.340941      1 0.000000
239713.098724 590637.384242      1 0.000000
239738.107753 590612.347657      1 0.000000
239763.106985 590587.381150      1 0.000000
239788.105967 590562.344495      1 0.000000
239813.103855 590562.345899      1 0.000000
239838.103130 590537.379186      1 0.000000
239863.102066 590512.342625      1 0.000000
239888.101415 590487.386229      1 0.000000
239913.100270 590462.339560      1 0.000000
239913.101838 590437.381813      1 0.000000
239938.100717 590412.345190      1 0.000000
239938.102236 590387.387437      1 0.000000
239963.101157 590362.340735      1 0.000000
239963.102617 590337.382985      1 0.000000
239988.101483 590312.346471      1 0.000000
239988.103063 590287.388582      1 0.000000
240013.101881 590262.341970      1 0.000000
240038.101288 590237.385454      1 0.000000
240063.100183 590212.338965      1 0.000000
240088.099495 590187.382404      1 0.000000
240113.108354 590162.345817      1 0.000000
240138.107747 590137.379306      1 0.000000
240163.106640 590112.342789      1 0.000000
240163.108131 590087.384896      1 0.000000
240188.106966 590062.338450      1 0.000000
240213.106309 590037.381941      1 0.000000
240238.104137 590037.383161      1 0.000000
240263.103022 590012.346712      1 0.000000
240288.102314 589987.380235      1 0.000000
240313.101203 589962.343600      1 0.000000
240338.100576 589937.387139      1 0.000000
240363.099377 589912.340546      1 0.000000
240388.108619 589887.384085      1 0.000000
240413.107582 589862.347517      1 0.000000
240438.106861 589837.381063      1 0.000000
240463.105730 589812.344600      1 0.000000
240488.103560 589812.345930      1 0.000000
240513.101307 589812.347098      1 0.000000
240538.109112 589812.338377      1 0.000000
240563.108357 589787.381880      1 0.000000
240588.106162 589787.383296      1 0.000000
240613.103965 589787.384542      1 0.000000
240638.101787 589787.385776      1 0.000000
240663.100504 589762.339246      1 0.000000
240688.099889 589737.382813      1 0.000000
240713.108741 589712.346334      1 0.000000
240713.100159 589687.378613      1 0.000000
240738.109048 589662.341968      1 0.000000
240738.100574 589637.384303      1 0.000000
240738.101659 589612.346480      1 0.000000
240763.100892 589587.379917      1 0.000000
240788.108693 589587.381218      1 0.000000
240813.106450 589587.382454      1 0.000000
240838.105279 589562.346004      1 0.000000
